Greek Word,English Translation,Similar,Example Sentence
τα ονόματα,names,,Αναφέρεται επίσης και με τα ονόματα βαρυτομαγνητισμός ή φαινόμενο Λένζε-Tίρρινγκ.
το πλαίσιο,frame,,"Αυτό είναι σημαντικό για την ανάλυση μιας σειράς δοκιμασιών για τους AFP-καρκινικούς δείκτες π.χ. σε ένα μεταθεραπευτικό πλαίσιο παρακολούθησης διασωθέντων από καρκίνο, όπου ο ρυθμός μείωσης της AFP έχει διαγνωστική αξία."
η προσπάθεια,effort,,"Runciman 1989, σ. 458. Σε μία προσπάθεια του να φτάσει στις πηγές κοντά στην Χαττίν ο Ραϋμόνδος επιτέθηκε με το ιππικό του στις δυτικές πλευρές του Μουσουλμανικού στρατού και μπόρεσε να ανοίξει ένα ασφαλές πέρασμα για τον στρατό του."
το σχολείο,school,,"Αν και οικονομικώς επιτυχημένο, το σχολείο δεν μπορούσε να πραγματοποιήσει αυτό που ποθούσε ο Πεσταλότσι: να εκπαιδεύσει τα παιδιά των φτωχών."
ταυτόχρονα,at the same time,,;R-Coffee : μια ειδική λειτουργία του T-Coffee που δίνει τη δυνατότητα στο χρήστη να κάνει στοίχιση RNA ακολουθιών χρησιμοποιώντας ταυτόχρονα δευτεροταγής δομικές πληροφορίες.
χλμ,km,,Απέχει περίπου 10 χλμ.
Ο Αύγουστος,August,,
Ο Ιούνιος,June,,Το τμήμα Ράγκμπι Γιούνιον του Παναθηναϊκού Α.Ο. συστάθηκε το 1933.
η σχολή,leisure,,"Αν και πολλές οι πολυκατοικίες του Μπόνη στη μεσοπολεμική Αθήνα, με τη βαριά και αυστηρή τους γραμμή, υστερούν έναντι εκείνων άλλων συναδέλφων του, που ασχολήθηκαν συστηματικότερα με το θέμα."
οι βαθμοί,grades,,"Αν πάλι και οι δύο ομάδες έχουν τους ίδιους πόντους, τότε η αντίπαλη ομάδα τους γράφει κανονικά ενώ της ομάδας που αγόρασε κρέμονται, που σημαίνει ότι όποια ομάδα κερδίσει την επόμενη παρτίδα θα πάρει και τους βαθμούς που κρέμονται από την προηγούμενη."
βόρεια,North,,"Αφρικής που, στο παρελθόν (περίπου το 1970) ξεχειμώνιαζαν τακτικά στην Ισπανία, δεν μετακινούνται πλέον βόρεια, προς την Ευρώπη."
γενικά,generally,,"Αν και είναι γενικά μια συνήθης θεραπεία, σχετίζεται με ορισμένες παρενέργειες."
το δικαίωμα,right,,"C. Escher"" στις Ηνωμένες Πολιτείες βρήκε εμπόδια, αλλά η Ολλανδική εταιρεία επικράτησε στα δικαστήρια με την αιτιολογία ότι ένας καλλιτέχνης ή οι κληρονόμοι του έχουν δικαίωμα να κατοχυρώσουν το όνομα ως εμπορικό σήμα."
τα δολάρια,dollars,,"Oι συνολικές εισπράξεις στο αμερικανικό box office έφτασαν τα 381,4 εκατομμύρια δολάρια και στον υπόλοιπο κόσμο τα 960,9 εκατομμύρια δολάρια."
οι εκδηλώσεις,events,,"Αυτό πυροδότησε σειρά εξελίξεων: Συντηρητικοί πολίτες οργάνωναν εκδηλώσεις διαμαρτυρίας έξω από αίθουσες όλης της χώρας ζητώντας την απαγόρευση της ταινίας, ενώ απ' την άλλη μεριά δεκάδες καλλιτέχνες άρχισαν να μιλούν ανοιχτά κατά της λίστας."
οι ημέρες,days,,"Αν ο θάνατος δεν έχει συμβεί σε 3 έως 8 ημέρες, το θύμα συνήθως ανακάμπτει."
η ιδέα,idea,,Αυτή η ιδέα προτάθηκε για πρώτη φορά από τον Ζουρντέν το 1905.
μπροστά,in front,,"Δεν έχει σημασία τι θα κάνουν οι άνθρωποι, αφού κάποτε θα βρεθώ μπροστά στο δικαστήριο της αιωνιότητας."
των νέων,of young people,,"Barber 2012, p. 147. Ο βασιλιάς δέχτηκε την πρόταση και έστειλε τον στρατό του να κυριεύσει το Μπανιάς και με πλεονέκτημα την παρουσία νέων Σταυροφόρων αποφάσισε να επιτεθεί στην Δαμασκό."
η πορεία,course,μπορεί,"Αξιοθέατα της διαδρομής είναι μεταξύ άλλων η Λίμνη Βενάντο, η υψηλότερη λίμνη των Φιλιππίνων, τόπος κατασκηνώσεως των ορειβατών και στάση στην πορεία προς την κορυφή, και οι θειωνιές, καθώς και ο παλαιός κρατήρας κοντά στην κορυφή."
η πραγματικότητα,reality,,"«αιγυπτιακή») αποτελεί στην πραγματικότητα ομάδα διαλέκτων (περιλαμβανομένης της διαλέκτου των Υεμενιτών), που ομιλούνται για τελετουργικό σκοπό από Εβραίους σε διάφορα μέρη του αραβικού και ισλαμικού κόσμου."
συνέχισε,he continued,,"Paolo Diacono, Historia Langobardorum, IV, 41. Ο Θεοδελίνδα συνέχισε την πολιτική του Αγιλούλφου κλείνοντας ειρήνη με τους Βυζαντινούς και αντιτάχθηκε σκληρά στους Αρειανούς που υπήρχαν στο βασίλειο της οι οποίοι αναζητούσαν πόλεμο με τους Βυζαντινούς."
οι συνθήκες,conditions,,"Αυτές περιλαμβάνουν τις βασικές οικονομικές συνθήκες του πολιτισμού, την ανάπτυξη του εμπορίου, την αλληλεπίδραση με άλλους πολιτισμούς και την προφανή χρήση ανταλλακτικών μαρκών, ένος πρώιμου είδους χρήματος."
τέσσερα,four,,"Από το στόμα τους διαβάζουμε τι έριξαν: Ο Αχιλλέας τέσσερα, ο Αίαντας τρία."
η υπόθεση,case,,"Αφέθηκε αργότερα ελεύθερος με περιοριστικούς όρους, καθώς δεν κρίθηκε ύποπτος φυγής ή τέλεσης νέων αδικημάτων, ενώ παραμένει κατηγορούμενος για την υπόθεση."
Αγίας,saint,,Εκεί υπάρχει και μικρή μονή της Παναγίας που ανήκει στην Μονή Ταξιαρχών.
ο Δήμος,municipality,,"PFL αποδεκτή οικονομική, υλική και οργανωτική υποστήριξη από το κράτος, τους δήμους, δημόσιους οργανισμούς, εταιρείες και άλλους φορείς για την ανάπτυξη του ποδοσφαίρου."
ο Ιανουάριος,January,,
Μαρία,Mary,,
παρά,despite,,"Storozynski, 2011, p. 245. Τον Σεπτέμβριο πέρασε παράνομα τα πολωνικά σύνορα και άρχισε να διάγει προσωπικές παρατηρήσεις και συναντήθηκε με υψηλόβαθμους αξιωματικούς του πολωνικού στρατού, όπως ο στρατηγός Γιόζεφ Βοντίτσκι."
η Ρωσία,Russia,,Έργα των συνθετών της Λευκορωσίας στο ρεπερτόριο της εταιρείας περιλαμβάνουν το «Ο Γκρίζος Θρύλος» (1978) του Ντμίτρι Σμόλσκι.
άνω,above,πάνω,"Αγαπητοί μου αδελφοί, σήμερα όπως και στο παρελθόν, όπως και θα συνεχίσω να κάνω στο μέλλον, αποκηρύσσομαι των πνευματικών μου δικαιωμάτων."
η έκθεση,exhibition,,"Αναφορές δηλώνουν μια συλλήβδην στροφή της διοίκησης στους ανταγωνιστές της Enron, προς μείωση της έκθεσης σε ρίσκο."
τα έτη,years,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
έφερε,brought,,"Everard 2004, σ. 146 Ο Ριχάρδος βάδισε στην Βρετάνη, ελευθέρωσε τον Αρθούρο και τον μετέφερε με ασφάλεια να μεγαλώσει μαζί με τον Λουδοβίκο."
ακολούθησε,follow,,To 2004 ακολούθησε η ταινία που του χάρισε ακόμα περισσότερη δημοσιότητα σε όλο τον κόσμο.
η αποστολή,Mission,,"Ανακαλύφτηκε τον Ιανουάριο του 1820, από μια βρετανική αποστολή με επικεφαλής τον Έντουαρντ Μπράσφιλντ (Edward Bransfield), που της έδωσε το συγκεκριμένο όνομα λόγω των πιγκουίνων που ζούσαν στις ακτές της."
τα άτομα,persons,,"Αρχικά το μεγαλύτερο επίτευγμα για αυτές, ήταν ένα στέμμα για την ""Μις TNA"", που αναδεικνυόταν μέσα από αγώνα πολλών ατόμων."
αυτοί,these,,"Αλλά οι δύο αυτοί λαμπροί εφευρέτες, αλλά διαφορετικοί τύποι ανθρώπων, δεν ήταν δυνατόν να συνεργασθούν για πολύ καιρό."
γρήγορα,quickly,,"Αν το φορτίο αλλάζει πιο γρήγορα από την κατάλληλη προσαρμοστική απόκριση που παρέχει το κύκλωμα ελέγχου, η ισορροπία δεν μπορεί να διατηρηθεί."
δέκα,ten,,Carrera 2. Η έκδοση V8 με 265 kW (360 hp) ήταν ακόμη μεγαλύτερη από δύο δέκατα του δευτερολέπτου.
η διαφορά,difference,,"Tusell 2007: 374. Στις εκλογές του 1996, το Λαϊκό Κόμμα δεν κέρδισε με τη διαφορά που αναμενόταν, με μόνο 300.000 ψήφους διαφορά από το PSOE."
η δράση,action,,"Για τη δράση του εκείνη υποβλήθηκε σε βασανιστήρια, συνελήφθη και λίγο έλειψε να πεθάνει κατά τον Μακεδονικό Αγώνα."
η δυνατότητα,ability,,O χιασμός αυτός επιτυγχάνεται με εφίππευση της κερκίδας επί της ωλένης αφού όπως είπαμε μόνο η κερκίδα έχει δυνατότητα στροφής περί τον επιμήκη της άξονα.
η εκδοχή,version,,Αρκετές από τις σκηνές που είχε γυρίσει ο Μπρεστ παραμένουν στην τελική εκδοχή της ταινίας.
οι επιχειρήσεις,businesses,,"Αν και ορισμένα πουλιά παραμένουν σε μικρά κοπάδια σε εκτεταμένα συστήματα, τα περισσότερα πουλιά που διατίθενται στην αγορά σήμερα εκτρέφονται σε εντατικές εμπορικές επιχειρήσεις."
εργάστηκε,worked,,"Από το 1990 έως το 1993, ο Μπεναγιούν συνεργάστηκε με τον Βέλγο γραφίστα François Schuiten στο έργο Quarxs, που είναι η πρώτη σειρά animation η οποία δημιουργήθηκε από τα γραφικά ενός υπολογιστή HD."
το εσωτερικό,interior,,"Για μία περίοδο εργάστηκε και για το περιοδικό House & Garden έχοντας υπογράψει αποκλειστικό συμβόλαιο με τον εκδοτικό οίκο Condé Nast Publishing, φωτογραφίζοντας το εσωτερικό πλούσιων σπιτιών."
το θέατρο,theater,,"Αν και δεν υπάρχουν πολλά ερείπια από αυτόν τον αρχαιολογικό χώρο, οι ταφές και το θέατρο είναι ιδιαίτερα ορατά."
το κράτος,state,,"PFL αποδεκτή οικονομική, υλική και οργανωτική υποστήριξη από το κράτος, τους δήμους, δημόσιους οργανισμούς, εταιρείες και άλλους φορείς για την ανάπτυξη του ποδοσφαίρου."
η κυρία,Lady,,"Α. Γονίου, «(Ηπειρωτικά) Ονόματα κύρια», Ζωγράφειος αγών: Μνημεία της ελληνικής αρχαιότητος ζώντα εν τω νυν ελληνικώ λαώ, τμ."
οδηγεί,leads,,"Αυτό μας οδηγεί σε μια τρίτη έννοια, εκείνη του φυσικού ισομορφισμού: όσο το V και το V** είναι διαφορετικά σύνολα, υπάρχει μια φυσική επιλογή ισομορφισμού ανάμεσά τους."
οκτώ,eight,,Αυτό όμως δεν συμβαίνει: το Σεβενίνχεν είναι μία από τις οκτώ περιφέρειες της Χάγης (‘statsdelen’).
πάρει,take,υπάρχει,"Αν πάλι και οι δύο ομάδες έχουν τους ίδιους πόντους, τότε η αντίπαλη ομάδα τους γράφει κανονικά ενώ της ομάδας που αγόρασε κρέμονται, που σημαίνει ότι όποια ομάδα κερδίσει την επόμενη παρτίδα θα πάρει και τους βαθμούς που κρέμονται από την προηγούμενη."
ο πίνακας,table,,"Kontor: Tα Kontore ήταν ξένοι εμπορικοί σταθμοί της Ένωσης, όχι Χανσεατικές πόλεις-μέλη και μπαίνουν σε ξεχωριστό πίνακα παρακάτω."
οι πληροφορίες,information,,;R-Coffee : μια ειδική λειτουργία του T-Coffee που δίνει τη δυνατότητα στο χρήστη να κάνει στοίχιση RNA ακολουθιών χρησιμοποιώντας ταυτόχρονα δευτεροταγής δομικές πληροφορίες.
πραγματοποίησε,performed,,Για τον σκοπό αυτό πραγματοποίησε δύο επισκέψεις στην Αθήνα και μία στη Θράκη ενώ απέσπασε στρατιωτικές δυνάμεις από το μέτωπο και τα μετόπισθεν της Μικράς Ασίας.
πρόκειται,it is about,,"Αν η Νέμεσις πρόκειται για ένα φαιό νάνο, όπως προτείνεται από τον Δρ Dan Whitmire και τον Albert A. Jackson IV, τότε η αποστολή WISE (προγραμματισμένη για το Δεκέμβριο του 2009) θα πρέπει να το βρει εύκολα."
τα πόδια,legs,,"C. Escher"" στις Ηνωμένες Πολιτείες βρήκε εμπόδια, αλλά η Ολλανδική εταιρεία επικράτησε στα δικαστήρια με την αιτιολογία ότι ένας καλλιτέχνης ή οι κληρονόμοι του έχουν δικαίωμα να κατοχυρώσουν το όνομα ως εμπορικό σήμα."
πώς,how,,"Ανάμεσά του βρίσκεται ένα πτώμα, αλλά και οδηγίες για το πώς θα διαφύγουν."
η σκηνή,scene,,"Από το έργο ξεχωρίζει το φωτεινό Πρελούδιο της Πρώτης Πράξης, που περιλαμβάνει σημαντικά θέματα του έργου, και η ήρεμη μουσική που συνοδεύει τη σκηνή της Μεγάλης Παρασκευής στην Τρίτη Πράξη, στην οποία παρακολουθούμε τη μαγική μεταμόρφωση της φύσης."
το συγκρότημα,complex,,Αυτή ήταν η πρώτη φορά που το συγκρότημα τραγούδησε στην πόλη καταγωγής του μετά από περισσότερα από 15 χρόνια.
τουλάχιστον,at least,,"Stove, 260 Ο Βαλάς, γράφοντας στα μέσα του εικοστού αιώνα λέει ότι, η σονάτα αυτή «έγινε το πιο δημοφιλές έργο του Φρανκ και, τουλάχιστον, στη Γαλλία, το πιο γενικώς αποδεκτό έργο σε όλο το ρεπερτόριο της μουσικής δωματίου»."
τα χρήματα,money,,"Αν δεν τους έκλεβε απ' ευθείας, τους ζητούσε χρήματα για να τους προστατεύει ή για να μην τους κλέβει."
τα χρώματα,colors,χρήματα,"Αν και ο Βάλντι είχε μία ποικιλία διαφορετικών χρωματικών συνδυασμών, έχει αναφερθεί έχει κατά καιρούς αναφερθεί ότι το κύριο σύστημα σχεδιάστηκε για να ταιριάζει με τα χρώματα των Ολυμπιακών κύκλων, δηλαδή μπλε, πράσινο κίτρινο, πορτοκαλί και πράσινο."
η ώρα,time,χώρα,"Kirby, The Earliest English Kings, p. 81. Σύμμαχος του Πέντα ήταν ο ανιψιός του Οσουί Έθελβαλντ ο οποίος ήταν εκείνη την εποχή βασιλιάς της Ντέιρα, ο Οσουί θεωρούσε την Ντέιρα δικό του βασίλειο και ήθελε τον οποιοδήποτε βασιλιά της χώρας υποτελή του."
ο Απρίλιος,April,,
Ιωάννης,John,,
η άνοδος,the rise (going up),,"Από τη θύρα του ισογείου υπάρχει εσωτερική, διπλή κλίμακα για την άνοδο στον πρώτο όροφο, των ευγενών (piano nobile)."
το άτομο,atom,,Είναι το μόνο άτομο που μπορεί να υπογράφει άδειες εξόδου Εβραίων από την χώρα.
η αγορά,Buy,,"Miller (2007), σ. 34. Επιπροσθέτως, εκδοτικοί οίκοι γενικού περιεχομένου μπήκαν στην αγορά των κόμικς: η Albin Michel αγόρασε το L'Écho des savanes, Miller (2007), σ. 33. η Hachette την Les Humanoïdes Associés και η Gallimard την Futuropolis."
η αλλαγή,change,,"Fine, Late Medieval Balkans, p. 304. Αυτή η ειρηνική αλλαγή ήταν η τελευταία μεγάλη επιτυχία στην εξωτερική πολιτική του Ιβάν-Αλεξάνταρ."
απεβίωσε,passed away,,"Από τον αδελφό του βασιλιά της Σαρδηνίας τοποθετήθηκε διοικητής στο Σάσαρι, ΒΔ του νησιού, αλλά απεβίωσε από ελονοσία."
αφορά,concerns,φορά,"Le Chevalier de Maison-Rouge, την οποία, όπως μας εκμυστηρεύεται, είχε ερωτευτεί νέος στην τηλεοπτική μεταφορά του βιβλίου."
δείχνει,shows,δίνει,Αυτό δείχνει ότι οι διανομείς είχαν επίγνωση της εξασθένισης του box office για την έλξη των σλάσερ και προσπαθούσαν να το αποκρύψουν από το ακροατήριο για να σκεφτούν ότι θα έβλεπαν κάτι άλλο.
η δομή,structure,,"Chris Scarre, Τα εβδομήντα θαύματα του αρχαίου κόσμου – Τα μεγάλα μνημεία και πως κατασκευάσθηκαν, εκδ."
εντελώς,completely,,"Αρχικά κατασκευάστηκε για λογαριασμό του Αδαμάντιου Λαδένη, αλλά μετατράπηκε και λειτούργησε ως ξενοδοχείο από το 1932 από τον Κωνσταντίνο Χατζηεμμανουηλίδη με κεντρική θέρμανση, κάτι εντελώς πρωτοποριακό για την εποχή."
εξαιτίας,due to,,"Αλλά εντάσεις αναπτύχθηκαν στον γάμο τους, ιδίως εξαιτίας της έλξεως που ασκούσε στον Μουρ η ηθοποιός Ντόροθυ Προβάιν, και επέστρεψαν στο Ηνωμένο Βασίλειο το 1961."
καλύτερα,better,,"Megamix, που εμφανίστηκε μετά το διπλό άλμπουμ του 1995, ήταν καλύτερα, με τον θρύλο του (Μάικλ Τζάκσον) μουσικού χρυσού, ήταν κάπως αδύνατο να δημιουργήσει ένα κακό mix»."
οι κάτοικοι,resident,,Αρκεί να κοιτάξει κανείς την απογραφή του 1920 (1197 κάτοικοι) και την πρόσφατη του 2011 (961 κάτοικοι) για να καταλάβει τη σταθερή παρουσία των κατοίκων στο χωριό.
η κοινωνία,society,,Ασχολήθηκε κυρίως με την προσωπογραφία και το έργο της είχε ιδιαίτερη απήχηση στην υψηλή κοινωνία της Ρωσικής Αυτοκρατορίας.
το κομμάτι,piece,,"Ακολουθεί το ""Valhalla"", ένα mid-tempo κομμάτι, του οποίου οι στίχοι έχουν να κάνουν με την μετά θάνατον ζωή των Βίκινγκ."
λίγες,few,,"Αργότερα, εμφανίζονται μετατραυματικές διαταραχές οι οποίες μπορεί να διαρκέσουν από λίγες ημέρες μέχρι και μερικούς μήνες."
"λιγότερος, λιγότερη, λιγότερο",less,,"Αν και τα δείγματα ενυδρείων είναι ευρέως γνωστά για τα λαμπερά τους χρώματα και τα μεγάλα πτερύγια, όπου απαντάται ελεύθερο στη φύση, ο Μονομάχος έχει λιγότερο εντυπωσιακά όμως χρώματα."
μάλιστα,in fact,,"Ακολούθησε η μετά θάνατον δημοσίευση των Ομιλιών του Σατανά το 1998, οι οποίες μάλιστα περιελάμβαναν και ένα πρόλογο από τον τραγουδιστή της rock Marilyn Manson, που ήταν ιερέας στην Εκκλησία."
το μετάλλιο,medal,,"Ένα χρόνο αργότερα, το πάρκο έλαβε μετάλλιο για την κορυφαία αστική σχεδίαση από το Towarzystwo Urbanistów Polskich (Ένωση Πολωνών Σχεδιαστών Πόλεων)."
οι μορφές,forms,,"Αυτό το εξώφυλλο χρησιμοποιείται στις περισσότερες μορφές κυκλοφορίας του άλμπουμ (ψηφιακές και φυσικές), εκτός από τη ψηφιακή deluxe μορφή και το box set, όπου παρουσιάζουν μια άλλη φωτογραφία της Μαντόνα, ξανθιά."
οι νέες,new ones,,Από 1959 και μετά δεν έχουν γίνει νέες διεκδικήσεις και η ήπειρος θεωρείται ουδέτερη.
οι νίκες,victories,,Ανέδειξε πρωταθλητές Ελλάδος και βαλκανιονίκες.
το νησί,island,,"Άνδρες ιεροί, γιατί φύγατε μακριά και παρεξηγήσατε την πρόθεση μου; Είναι επιθυμία δική μου και διαταγή του βασιλιά μου να μην βλάψω τη γη και τους κατοίκους του νησιού των θεών."
ο παίκτης,player,,"Για να προχωρήσει μέσα από το παιχνίδι, ο παίκτης πρέπει να εξερευνήσει πέντε τοποθεσίες ("
παίρνει,takes,,Αμέσως Ιζαμπέλα παίρνει την πρωτοβουλία ζητώντας από τον Μουσταφά ποια είναι η γυναίκα με τον Lindoro.
παντρεύτηκε,married,,"Αφότου πέθανε ο πατέρας του, η μητέρα του ξαναπαντρεύτηκε για δεύτερη φορά με τον George Enescu (από τους μεγαλύτερους Ρουμάνους συνθέτες)."
παραμένει,remains,,Αδιευκρίνιστο παραμένει ως σήμερα ποιος φέρει την ευθύνη για τον χαοτικό τρόπο αντίδρασης των αστυνομικών δυνάμεων.
παρουσιάζει,presents,,"""Sans Farine,"" από την συλλογή του Like You'd Understand, Anyway (2007), παρουσιάζει μία φανταστική αυτοβιογραφία του Σαρλ-Ανρί Σανσόν."
πλήρως,fully,,motions and stirrings' had been made Ανέλαβε πλήρως τη βασιλική εξουσία όταν ενηλικιώθηκε.
οι πολίτες,citizens,,"Ακριβότερα κομμάτια απευθύνονταν στους πιο εύπορους πολίτες, με ποικιλία θεμάτων."
η συμφωνία,agreement,,"Αναφέρεται στη συμφωνία του Λονδίνου το 1945, με την οποία καθιερώθηκε το αδίκημα της γενοκτονίας και οργανώθηκε η καταστολή του."
τριών,three,,"Αν και αρκετές αναφορές περιγράφουν τον Κέρουακ να γράφει σε αυτό το διάστημα των τριών εβδομάδων πυρετωδώς, υπό την επήρεια της αμφεταμίνης μπενζεντρίνη, η αλληλογραφία του με τον Γκίνσμπεργκ και τον Κάσσαντι ανατρέπει αυτή την εικόνα."
φέρει,brings,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
η Αμερική,America,,
η Ιταλία,Italy,,
Μάιο,May,,
το Παρίσι,Paris,,
έλαβαν,received,,"Mάλιστα, η λατρεία της περιελάμβανε το όχι σύνηθες έθιμο της θυσίας χοίρων, ένα έθιμο που παρέλαβαν από τη γειτονική πόλη Oνθύριον, όταν αυτή συνοικίστηκε στη Mητρόπολη."
έμεινε,stayed,,"Από όταν ολοκληρώθηκε η ανακαίνιση του 1867, η βασική εμφάνιση του μεγάρου Ελιζέ παρέμεινε η ίδια."
ίσως,maybe,,"Αρρώστησε στο Tours το 1445, ίσως από πλευρίτιδα που απέκτησε αφού επέστρεψε με τα πόδια από ένα προσκύνημα στη Βασιλική της Notre-Dame de l'Epine."
ακολουθεί,follows,,Ακολούθησαν μεταβολές τα τρία επόμενα χρόνια με βασιλικά διατάγματα και το 1840 οι δήμοι περιορίστηκαν σε 10. Παρακάτω ακολουθεί αναλυτικός κατάλογος των δήμων και των οικισμών που περιλάμβαναν.
ανάλογα,accordingly,,"Άλλωστε, ένα από τα σημαντικότερα ταξινομικά προβλήματα του είδους είναι οι χρωματικές παραλλαγές «χώματος» που εμφανίζουν τα επί μέρους υποείδη, ανάλογα με το περιβάλλον όπου συχνάζουν."
τα αντικείμενα,objects,,"Michel, Herbeck (2002) p. 121 Εκείνο το διάστημα, ο ΜακΒέι πουλούσε αντικείμενα επιβίωσης και αντίγραφα των ημερολογίων του Τέρνερ."
απέναντι,across,,Δυο μεγάλα κτιριακά συγκροτήματα στεγάζουν τις φοιτητικές κατοικίες σε μικρή απόσταση από τη Φοιτητική Λέσχη και άλλα τέσσερα απέναντι από το κτίριο της Διοίκησης.
αποφάσισε,decided,,"Barber 2012, p. 147. Ο βασιλιάς δέχτηκε την πρόταση και έστειλε τον στρατό του να κυριεύσει το Μπανιάς και με πλεονέκτημα την παρουσία νέων Σταυροφόρων αποφάσισε να επιτεθεί στην Δαμασκό."
αρνήθηκε,he/she/it denied,,"To 2004 o Masashi Tsuboyama είχε δηλώσει ότι το Silent Hill 5 βρισκόταν σε στάδιο ανάπτυξης, αλλά αρνήθηκε τις φήμες ότι το παιχνίδι θα είχε τον τίτλο ""Silent Hill:Shadows""."
βρεθεί,to be found,,"Αν αρκεί να βρεθεί μια φορά το στοιχείο-κλειδί, τότε ο αλγόριθμος μπορεί να σταματήσει όταν το βρει."
η γη,Earth,,"Borchert (2011), 22 Αυτή η νέα ελευθερία στον έλεγχο του φωτός οδήγησε σε περισσότερο ακριβείς και ρεαλιστικές απεικονίσεις των υφών των διαφόρων επιφανειών."
οι γραμμές,lines,,"Ακολουθώντας γραμμές ρηγματώσεων που αποκάλυπταν αδυναμίες στο φλοιό της Γης, έσκαψαν βαθιά φαράγγια που κατέληγαν στις οδοντωτές ακτές."
δημόσια,public,,"Αν και η λέξη delator, για τον «κοινό πληροφοριοδότη», περιορίζεται στην περίοδο της αυτοκρατορίας, το δικαίωμα της δημόσιας κατηγορίας είναι παλαιότερο."
είπε,he/she/it said,,"Ανάμεσα στην οικογένεια περπατάει το θυσίασμα, ένας θηλυκός χοίρος, από τον οποίο λείπει ενδιάμεσο μέρος του σώματος από τους ώμους μέχρι και το θώρακα."
η επίσημη,official,επίσημα,"H πρώτη επίσημη καταγραφή του χωριού Βωλάξ, προέρχεται από τα κρατικά έγγραφα της βενετικής διοίκησης του 1618 (ASVe, Duca Di Candia, Busta 92) που βρίσκονται στην Ιταλία."
η επιλογή,selection,,"Αυτό μας οδηγεί σε μια τρίτη έννοια, εκείνη του φυσικού ισομορφισμού: όσο το V και το V** είναι διαφορετικά σύνολα, υπάρχει μια φυσική επιλογή ισομορφισμού ανάμεσά τους."
η επιρροή,influence,,Αυτό το περιστατικό δείχνει και τον βαθμό στον οποίο ασκούσε επιρροή η Γκερμπέργκα στον Ερρίκο.
η εργασία,work,εργασίας,"Meyer, τ. Β', σ. 312–314 Τρία χρόνια αργότερα, το 1998, κυκλοφόρησε η πρώτη και (εκτός της εργασίας του MGFA) η μοναδική ως τώρα βιογραφία του Λούντβιχ Κύμπλερ, πάλι από τον Ρόλαντ Κάλτενέγκερ."
η εφαρμογή,application,,"Αυτό έγινε μετά από μια συνάντηση μεταξύ των συλλόγων της S.League σύμφωνα με την οποία θεσπίστηκαν νέοι κανόνες για τον περιορισμό των ξένων παικτών σε δύο, και την εφαρμογή ενός ρόστερ με επίκεντρο τους νεαρούς."
το ιστορικό,record,,"Γεννήθηκε π. το 1210, σύμφωνα με τον ιστορικό Γκυούλα Κριστό."
κάνουν,they do,,"Ακολουθεί το ""Valhalla"", ένα mid-tempo κομμάτι, του οποίου οι στίχοι έχουν να κάνουν με την μετά θάνατον ζωή των Βίκινγκ."
"κοινός, κοινή, κοινό",common,,Αυτή η προσέγγιση είναι κοινή σε πολλές άλλες προστατευόμενες περιοχές.
τα κτίρια,buildings,,Αποτελούνταν από 320 κτίρια.
λέει,says,,"Stove, 260 Ο Βαλάς, γράφοντας στα μέσα του εικοστού αιώνα λέει ότι, η σονάτα αυτή «έγινε το πιο δημοφιλές έργο του Φρανκ και, τουλάχιστον, στη Γαλλία, το πιο γενικώς αποδεκτό έργο σε όλο το ρεπερτόριο της μουσικής δωματίου»."
λοιπόν,well,,"Αποδείχνοντας λοιπόν την υιοθεσία και τη διαθήκη έγκυρες με βάση και τους τρεις νόμους, τους προσδίδει πολύ μεγαλύτερο κύρος."
οι μέρες,days,ημέρες,"Αν ο θάνατος δεν έχει συμβεί σε 3 έως 8 ημέρες, το θύμα συνήθως ανακάμπτει."
η μεταφορά,transport,,"Le Chevalier de Maison-Rouge, την οποία, όπως μας εκμυστηρεύεται, είχε ερωτευτεί νέος στην τηλεοπτική μεταφορά του βιβλίου."
μικρά,small ones (neutral),,"Αν και ορισμένα πουλιά παραμένουν σε μικρά κοπάδια σε εκτεταμένα συστήματα, τα περισσότερα πουλιά που διατίθενται στην αγορά σήμερα εκτρέφονται σε εντατικές εμπορικές επιχειρήσεις."
μικρές,small ones (feminine),,"Άνθη Ευλαβείας», που τραγουδά ο ίδιος ο συνθέτης με μικρές συμμετοχές σε ένα τραγούδι η Ελευθερία Αρβανιτάκη και η Γλυκερία."
"νέος, νέα, νέο",young,νέο,"Le Chevalier de Maison-Rouge, την οποία, όπως μας εκμυστηρεύεται, είχε ερωτευτεί νέος στην τηλεοπτική μεταφορά του βιβλίου."
οπότε,so,,"Από το 1954 έως το 1972, οπότε και αποφάσισε να κατέβει από την πασαρέλα, ήταν ένα από τα πιο καλοπληρωµένα και περιζήτητα µοντέλα, μάλιστα την αποκαλούσαν «Μπριζίτ Μπαρντό της ελληνικής µόδας»."
